config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011100111001001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_011100111010000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_enable_irq_qregs_011100111010001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_011100111011000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011100111011001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_111000000000000_icache_multiword_lookahead,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_irq_qregs_111000000000001_icache_multiword_lookahead,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_catch_illinsn_111000000001000_icache_multiword_lookahead,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_catch_illinsn_enable_irq_qregs_111000000001001_icache_multiword_lookahead,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_catch_misalign_111000000010000_icache_multiword_lookahead,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_catch_misalign_enable_irq_qregs_111000000010001_icache_multiword_lookahead,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,icache_multiword_lookahead
