config,tests_pass,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module,enable_fast_mul
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_illinsn_011000101001000_icache_multiword_lookahead,1,4100,4843,352,0,700,16.01,17,4830,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000101001001_icache_multiword_lookahead,1,4100,5592,352,0,700,16.04,16,4826,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_011000101010000_icache_multiword_lookahead,1,4137,4842,4,0,721,16.53,16,4890,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000101010001_icache_multiword_lookahead,1,4152,4838,44,0,701,16.66,17,4884,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_catch_illinsn_011000101011000_icache_multiword_lookahead,1,4157,5183,4,0,691,15.39,16,4906,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000101011001_icache_multiword_lookahead,1,4171,5195,4,0,671,15.75,17,4894,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_011000110000000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_irq_qregs_011000110000001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_illinsn_011000110001000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_illinsn_enable_irq_qregs_011000110001001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_011000110010000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_enable_irq_qregs_011000110010001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_catch_illinsn_011000110011000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_catch_illinsn_enable_irq_qregs_011000110011001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_011000111000000_icache_multiword_lookahead,1,4164,6602,756,0,718,16.42,15,4919,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_enable_irq_qregs_011000111000001_icache_multiword_lookahead,1,4145,6618,1060,0,718,15.92,15,4896,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_illinsn_011000111001000_icache_multiword_lookahead,1,4091,5653,4,0,700,16.04,17,4817,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000111001001_icache_multiword_lookahead,1,4100,6632,352,0,701,16.3,16,4826,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_011000111010000_icache_multiword_lookahead,1,4171,5245,4,0,701,15.48,17,4900,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000111010001_icache_multiword_lookahead,1,4168,4927,4,0,701,16.03,17,4899,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_011000111011000_icache_multiword_lookahead,1,4205,5969,44,0,704,15.95,17,4937,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000111011001_icache_multiword_lookahead,1,4201,4938,4,0,703,16.2,16,4931,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_011100000000000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_irq_qregs_011100000000001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_catch_illinsn_011100000001000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_catch_illinsn_enable_irq_qregs_011100000001001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_catch_misalign_011100000010000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_catch_misalign_enable_irq_qregs_011100000010001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_catch_misalign_catch_illinsn_011100000011000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_catch_misalign_catch_illinsn_enable_irq_qregs_011100000011001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_011100001000000_icache_multiword_lookahead,1,4246,5355,4,0,779,15.4,16,4995,5280,94,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_enable_irq_qregs_011100001000001_icache_multiword_lookahead,1,4148,5833,4,0,779,15.98,16,4902,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_illinsn_011100001001000_icache_multiword_lookahead,1,4225,6764,4,0,760,15.9,17,4953,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011100001001001_icache_multiword_lookahead,1,4255,5847,4,0,760,16.01,17,4986,5280,94,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_011100001010000_icache_multiword_lookahead,1,4243,5019,22,0,729,17.07,15,4968,5280,94,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_enable_irq_qregs_011100001010001_icache_multiword_lookahead,1,4227,5031,22,0,760,16.15,17,4961,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_catch_illinsn_011100001011000_icache_multiword_lookahead,1,4253,5030,352,0,731,16.38,15,4979,5280,94,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011100001011001_icache_multiword_lookahead,1,4232,5042,44,0,732,16.43,17,4960,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_two_cycle_alu_011100010000000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_irq_qregs_011100010000001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_illinsn_011100010001000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,icache_multiword_lookahead,0
